sal.homme	sal.femme	rev.tete	age	acceptation	garantie.supp	emploi
7.92	7.72	7.42	3.69	oui	hypotheque	cdd
7.97	7.49	7.76	3.89	oui	caution	cdd
6.97	7.1	6.35	3.53	non	non	cdd
7.85	7.39	7.24	3.78	oui	caution	cdd
6.67	6.76	5.46	3.78	oui	hypotheque	cdd
6.89	6.51	6.72	4.16	non	hypotheque	cdd
7.29	6.93	6.43	3.37	oui	hypotheque	cdd
7.53	7.51	7.52	3.99	oui	hypotheque	cdd
7.48	7.25	6.46	3.47	oui	non	cdi
7.27	6.6	6.59	3.3	oui	hypotheque	cdi
7.28	7.47	6.97	3.56	oui	non	cdi
8.4	8.07	7.84	3.76	oui	caution	cdi
7.46	6.79	6.26	3.4	oui	hypotheque	cdi
8.42	8.01	7.83	3.47	oui	non	cdi
7.39	7.44	7.42	3.89	non	non	cdd
7.47	7.59	7.53	3.78	oui	non	cdi
7.86	7.5	7.29	3.64	oui	hypotheque	cdi
6.83	7.06	6.03	3.74	oui	hypotheque	cdi
6.98	7.29	6.74	3.83	non	hypotheque	cdd
7.8	7.38	7.61	3.97	oui	hypotheque	cdi
7.67	7.69	7.27	3.81	oui	hypotheque	cdi
7.28	7.05	7.17	3.3	oui	caution	cdi
7.17	6.86	6.62	3.4	non	hypotheque	cdd
7.42	7.25	6.42	3.4	non	non	cdd
7.83	7.77	7.4	3.76	oui	hypotheque	cdi
7.33	7.14	7.24	3.18	oui	hypotheque	cdi
6.02	6.03	5.11	3.26	oui	hypotheque	cdi
7.63	7.77	6.79	3.66	oui	non	cdi
6.18	6.4	6.3	4.08	oui	non	cdi
7.57	7.53	6.63	3.43	oui	non	cdi
7.36	7.78	6.9	3.74	oui	hypotheque	cdi
8.03	7.94	7.29	3.78	oui	non	cdi
8.46	8.12	8.3	3.69	oui	hypotheque	cdi
6.64	7.12	6.22	3.5	oui	hypotheque	cdi
7.92	7.92	6.82	3.66	oui	non	cdi
7.14	7.2	6.26	3.78	non	hypotheque	cdd
7.13	6.85	6.08	3.85	non	caution	cdd
7.43	7.2	7.32	4.11	oui	hypotheque	cdi
8.78	8.58	8.69	3.78	oui	non	cdi
8.28	7.85	7.68	3.74	oui	hypotheque	cdi
6.31	6.57	5.75	3.66	non	hypotheque	cdd
7.48	6.97	7.26	3.74	non	hypotheque	cdd
7.48	6.96	6.85	3.37	non	hypotheque	cdi
7.69	7.11	7.44	4.16	non	hypotheque	cdi
7.44	7.16	6.91	3.78	non	non	cdi
7.47	7.24	6.45	3.66	oui	hypotheque	cdi
8.17	8.29	8.23	3.95	oui	non	cdi
7.4	7.29	7.35	3.09	non	hypotheque	cdi
7.26	6.81	7.06	4.16	non	non	cdi
7.5	7.16	7.35	4.08	non	hypotheque	cdi
